AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
34,1,0,1,28,1,2,1,34,1
73,2,2,1,35,1,8,1,73,2
38,1,1,1,38,1,0,1,20,1
70,2,0,1,22,1,0,1,70,2
40,1,1,1,40,1,1,1,24,1
500,6,1,1,43,1,0,1,443,6
28,1,0,1,27,1,2,1,28,1
52,2,1,1,27,1,12,1,52,2
70,2,2,1,20,1,20,1,70,2
33,1,0,1,33,1,0,1,5,1
59,2,1,1,59,2,1,1,23,1
30,1,0,1,30,1,1,1,24,1
169,4,4,1,169,4,3,1,150,4
45,1,1,1,45,1,0,1,16,1
44,1,1,1,44,1,0,1,22,1
61,2,1,1,27,1,11,1,61,2
58,2,0,1,21,1,0,1,58,2
44,1,1,1,44,1,0,1,32,1
18,1,0,1,18,1,0,1,6,1
65,2,0,1,22,1,0,1,65,2
20,1,0,1,20,1,0,1,20,1
31,1,0,1,31,1,0,1,30,1
138,3,3,1,138,3,2,1,112,3
39,1,1,1,19,1,1,1,39,1
44,1,0,1,17,1,0,1,44,1
74,2,1,1,74,2,1,1,35,1
51,2,0,1,23,1,0,1,51,2
125,3,5,1,16,1,2,1,125,3
95,2,0,1,22,1,0,1,95,2
500,6,1,1,40,1,0,1,376,6
40,1,1,1,30,1,8,1,40,1
108,3,0,1,23,1,0,1,108,3
72,2,0,1,19,1,0,1,72,2
75,2,1,1,37,1,1,1,75,2
20,1,0,1,14,1,0,1,20,1
64,2,1,1,41,1,0,1,64,2
37,1,1,1,37,1,0,1,30,1
40,1,0,1,21,1,1,1,40,1
35,1,1,1,35,1,0,1,15,1
33,1,1,1,17,1,8,1,33,1
59,2,1,1,30,1,3,1,59,2
48,1,1,1,48,1,0,1,35,1
104,3,0,1,22,1,0,1,104,3
30,1,1,1,30,1,0,1,10,1
50,1,1,1,23,1,4,1,50,1
32,1,1,1,32,1,1,1,29,1
42,1,1,1,32,1,0,1,42,1
46,1,1,1,21,1,4,1,46,1
230,5,5,1,130,3,9,1,230,5
39,1,1,1,39,1,0,1,20,1
72,2,1,1,28,1,2,1,72,2
59,2,2,1,6,1,0,1,59,2
69,2,0,1,26,1,0,1,69,2
